City,Website_Name,Url,Website_Rank,Availablity_Page_Number,Searching_Time,Date_Time
London Hotels,millenniumhotels,https://www.millenniumhotels.com/en/london/the-baileys-hotel-london/,34,4,01:37.0,31-01-2019 03:58
London Hotels,telegraph,https://www.telegraph.co.uk/travel/destinations/europe/united-kingdom/england/london/central/hotels/,35,4,01:37.0,31-01-2019 03:58
London Hotels,theguardian,https://www.theguardian.com/travel/2017/mar/02/best-new-budget-hotels-london,36,4,01:37.0,31-01-2019 03:58
London Hotels,grangehotels,https://www.grangehotels.com/hotels-london/,37,4,01:37.0,31-01-2019 03:58
London Hotels,cntraveller,https://www.cntraveller.com/gallery/best-hotels-in-london,38,4,01:37.1,31-01-2019 03:58
London Hotels,radissonblu-edwardian,https://www.radissonblu-edwardian.com/feature.do?feature=ourhotels,39,4,01:37.1,31-01-2019 03:58
London Hotels,firmdalehotels,https://www.firmdalehotels.com/hotels/london/,40,5,01:50.6,31-01-2019 03:58
London Hotels,lastminute,https://www.lastminute.ie/hotels/london.html,41,5,01:50.6,31-01-2019 03:58
London Hotels,dayuse,https://www.dayuse.com/s/united-kingdom/england/greater-london/london,42,5,01:50.7,31-01-2019 03:58
London Hotels,goop,https://goop.com/hotels/england/london/,43,5,01:50.7,31-01-2019 03:58
London Hotels,londontown,http://www.londontown.com/hotels/,44,5,01:50.7,31-01-2019 03:58
London Hotels,en,https://en.wikipedia.org/wiki/Hotels_in_London,45,5,01:50.7,31-01-2019 03:58
London Hotels,imperialhotels,https://www.imperialhotels.co.uk/en/,46,5,01:50.8,31-01-2019 03:58
London Hotels,redcarnationhotels,https://www.redcarnationhotels.com/our-hotels/london,47,5,01:50.8,31-01-2019 03:58
London Hotels,hardrockhotels,https://www.hardrockhotels.com/london,48,5,01:50.8,31-01-2019 03:58
London Hotels,parkplaza,https://www.parkplaza.com/london-hotel-gb-se1-7tj/gbplaza,49,5,01:50.9,31-01-2019 03:58
