Prod_name,Brand_name,Prod_price,Cross_price,Prod_Star_Rat,Prod_Review,Prod_Url
"Epson WorkForce ET-4750 EcoTank Wireless Color All-in-One Supertank Printer with Scanner, Copier, Fax and Ethernet",Epson,$399.99,$499.99,3.5,202,https://www.amazon.com/Epson-WorkForce-Wireless-Supertank-Ethernet/dp/B074V4QLXF/ref=sr_1_36/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-36
"HP M9L75A#B1H OfficeJet Pro 8720 All-in-One Wireless Printer with Mobile Printing, Instant Ink ready - White (M9L75A)",HP,$80.00,,3.6,835,https://www.amazon.com/HP-OfficeJet-8720-Wireless-Replenishment/dp/B01CJNMMZG/ref=sr_1_37/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-37
"Workforce WF-7710 Wireless Wide-Format Color Inkjet Printer with Copy, Scan, Fax, Wi-Fi Direct and Ethernet, Amazon Dash Replenishment Enabled",Epson,$149.99,$249.99,3.5,177,https://www.amazon.com/Workforce-WF-7710-Wireless-Wide-Format-Replenishment/dp/B077N6LP96/ref=sr_1_38/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-38
"HP OfficeJet Pro 7740 Wide Format All-in-One Printer with Wireless & Mobile Printing, HP Instant Ink & Amazon Dash Replenishment ready (G5J38A)",HP,$168.32,,3.7,307,https://www.amazon.com/HP-OfficeJet-Wireless-Printing-G5J38A/dp/B01JUCLLGK/ref=sr_1_39/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-39
"HP Laserjet Pro M452dn Color Printer, Amazon Dash Replenishment Ready (CF389A)",HP,$135.00,,3.8,191,https://www.amazon.com/HP-Laserjet-M452dn-Printer-Replenishment/dp/B014CSKF50/ref=sr_1_40/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-40
"Brother MFC-L3710CW Compact Digital Color All-in-One Printer Providing Laser Printer Quality Results with Wireless, Amazon Dash Replenishment Enabled",Brother,$299.99,$349.99,3.8,975,https://www.amazon.com/Brother-MFC-L3710CW-Providing-Wireless-Replenishment/dp/B07FMX1RXT/ref=sr_1_41/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-41
"Brother Compact Monochrome Laser Printer, HLL2390DW, Convenient Flatbed Copy & Scan, Wireless Printing, Duplex Two-Sided Printing, Amazon Dash Replenishment Enabled",Brother,$129.99,$149.99,4.1,563,https://www.amazon.com/Brother-Monochrome-HLL2390DW-Convenient-Replenishment/dp/B0764NWFP9/ref=sr_1_42/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-42
"Epson WorkForce ET-3750 EcoTank Wireless Color All-in-One Supertank Printer with Scanner, Copier and Ethernet",Epson,$349.99,$399.99,3.8,179,https://www.amazon.com/Epson-WorkForce-Wireless-Supertank-Ethernet/dp/B074V52CL4/ref=sr_1_43/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-43
"Brother HL-L3290CDW Compact Digital Color Printer Providing Laser Printer Quality Results with Convenient Flatbed Copy & Scan, Wireless Printing and Duplex Printing, Amazon Dash Replenishment Enabled",Brother,$269.99,,4,383,https://www.amazon.com/Brother-HL-L3290CDW-Providing-Convenient-Replenishment/dp/B07FN78LY5/ref=sr_1_44/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-44
Epson Expression ET-2650 EcoTank Wireless Color All-in-One Small Business Supertank Printer with Scanner and Copier,Epson,$199.99,,3.7,554,https://www.amazon.com/Epson-Expression-Wireless-Business-Supertank/dp/B01NA8VVT3/ref=sr_1_45/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-45
Canon PIXMA Pro-100 Wireless Color Professional Inkjet Printer with Airprint and Mobile Device Printing (6228B002),Canon,$328.03,$499.99,4.1,"1,016",https://www.amazon.com/Canon-Wireless-Professional-Airprint-6228B002/dp/B0095F5BCS/ref=sr_1_46/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-46
HP OfficeJet 200 Portable Printer with Wireless & Mobile Printing (CZ993A),HP,$137.99,,4,218,https://www.amazon.com/HP-OfficeJet-200-Portable-Wireless/dp/B01HGD8T9M/ref=sr_1_47/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-47
"Canon SELPHY CP1300 Wireless Compact Photo Printer with AirPrint and Mopria Device Printing, Black (2234C001)",Canon,$99.95,$129.99,4.3,326,https://www.amazon.com/Canon-Wireless-AirPrint-Printing-2234C001/dp/B073YHRPV5/ref=sr_1_48/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285718&sr=1-48
"Brother MFC-L3750CDW Digital Color All-in-One Printer, Laser Printer Quality, Wireless Printing, Duplex Printing, Amazon Dash Replenishment Enabled",Brother,$329.00,$399.99,3.6,654,https://www.amazon.com/Brother-MFC-L3750CDW-Wireless-Printing-Replenishment/dp/B07FMS1JSS/ref=sr_1_49/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-49
"CANON PIXMA iX6820 Wireless Business Printer with AirPrint and Cloud Compatible, Black",Canon,$136.99,,3.9,612,https://www.amazon.com/Wireless-Business-Printer-AirPrint-Compatible/dp/B00HM0IVDY/ref=sr_1_50/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-50
"Canon PIXMA TS9520 Wireless Photo All In one Printer | Scannier | Copier | Mobile Printing with AirPrint and Google Cloud Print, Black",Canon,$199.99,,3.5,39,https://www.amazon.com/Canon-Wireless-Scannier-Printing-AirPrint/dp/B07G685PX1/ref=sr_1_51/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-51
"Epson XP-7100 Expression Premium Wireless Color Photo Printer, Black",Epson,$129.99,$199.99,4,85,https://www.amazon.com/Epson-XP-7100-Expression-Premium-Wireless/dp/B07FN93WW7/ref=sr_1_52/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-52
"Canon Office and Business MX922 All-In-One Printer, Wireless and mobile printing",Canon,$129.88,,3.5,See newer version,https://www.amazon.com/Canon-Business-MX922-Wireless-printing/dp/B00AVWKUJS/ref=sr_1_53/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-53
"Brother Wireless All-in-One Inkjet Printer, MFC-J491DW, Multi-Function Color Printer, Duplex Printing, Mobile Printing,Amazon Dash Replenishment Enabled",Brother,$49.99,$79.99,3.6,816,https://www.amazon.com/Brother-Wireless-MFC-J491DW-Multi-Function-Replenishment/dp/B07C4V4WWF/ref=sr_1_54/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-54
"Color imageCLASS MF731Cdw - Multifunction, Wireless, Duplex Laser Printer (Comes with 3 Year Limited Warranty)",Canon,$275.95,$293.02,4.1,66,https://www.amazon.com/Color-imageCLASS-MF731Cdw-Multifunction-Wireless/dp/B06XY6XHGB/ref=sr_1_55/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-55
"Brother HL-L3210CW Compact Digital Color Printer Providing Laser Printer Quality Results with Wireless, Amazon Dash Replenishment Enabled, White",Brother,$179.95,$199.99,3.7,552,https://www.amazon.com/Brother-HL-L3210CW-Providing-Wireless-Replenishment/dp/B07FMS1DMX/ref=sr_1_56/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-56
"KiiPix Smartphone Picture Printer, Blue | Instantly Print Fun, Retro-Style Photos Right from Smartphone Screen | Portable | No Batteries Required | Great for Crafts, Parties and More!",KiiPix,$29.71,,3.4,178,https://www.amazon.com/KiiPix-Smartphone-Picture-Printer-Blue/dp/B07B7PQGBF/ref=sr_1_57/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-57
"Epson Expression Home XP-440 Wireless Color Photo Printer with Scanner and Copier, Amazon Dash Replenishment Enabled",Epson,$49.99,$99.99,3,637,https://www.amazon.com/Epson-Expression-XP-440-Wireless-Replenishment/dp/B06W9K5FD2/ref=sr_1_58/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-58
"Canon PIXMA TR4520 Wireless All in One Photo Printer with Mobile Printing, Black",Canon,$59.99,$99.99,3.7,93,https://www.amazon.com/Canon-TR4520-Wireless-Printer-Printing/dp/B07G5XZVLG/ref=sr_1_59/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-59
"HP Laserjet Pro M402dw Wireless Monochrome Printer, Amazon Dash Replenishment Ready (C5F95A#BGJ)",HP,$213.17,,4.1,229,https://www.amazon.com/HP-Laserjet-Wireless-Monochrome-Replenishment/dp/B013SKIBXG/ref=sr_1_60/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-60
"HP Laserjet Pro M452nw Wireless Color Laser Printer with Built-in Ethernet, Amazon Dash Replenishment Ready (CF388A)",HP,$185.99,,3.7,239,https://www.amazon.com/HP-Laserjet-Wireless-Replenishment-CF388A/dp/B01AUHADDG/ref=sr_1_61/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-61
HP Laserjet Pro M180nw All in One Wireless Color Laser Printer (T6B74A),HP,$170.00,,3.5,112,https://www.amazon.com/d/Computer-Printers/HP-Laserjet-Wireless-Printer-T6B74A/B073RFXMWP/ref=sr_1_62/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-62
"Polaroid Zip Wireless Mobile Photo Mini Printer – Compatible w/iOS & Android, NFC & Bluetooth Devices",Polaroid,$69.95,,3.8,"2,222",https://www.amazon.com/Polaroid-Wireless-Mobile-Photo-Printer/dp/B00TE8XKIS/ref=sr_1_63/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-63
"Canon IVY Mobile Mini Photo Printer through Bluetooth(R), Rose Gold",Canon,$99.99,$129.00,4.5,135,https://www.amazon.com/Canon-Wireless-Bluetooth-Portable-3204C001/dp/B07C66CKQ9/ref=sr_1_64/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-64
"Brother HL-L3230CDW Compact Digital Color Printer Providing Laser Printer Quality Results with Wireless Printing and Duplex Printing, Amazon Dash Replenishment Enabled",Brother,$229.99,$249.99,3.9,18,https://www.amazon.com/Brother-HL-L3230CDW-Providing-Wireless-Replenishment/dp/B07FMYYXZD/ref=sr_1_65/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-65
"HP DeskJet 3755 Compact All-in-One Wireless Printer with Mobile Printing, HP Instant Ink & Amazon Dash Replenishment ready - Stone Accent (J9V91A)",HP,$36.99,,3.3,"1,346",https://www.amazon.com/HP-3755-Wireless-Printing-Replenishment/dp/B01GAIU8ZC/ref=sr_1_66/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-66
"Canon Office and Business MB2720 Wireless All-in-one Printer, Scanner, Copier and Fax with Mobile and Duplex Printing",Canon,$89.99,$96.61,3.3,434,https://www.amazon.com/Canon-Business-MB2720-Wireless-Printing/dp/B01IIOMMRS/ref=sr_1_67/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-67
"HP Laserjet Pro M227fdw All-in-One Monochrome Wireless Laser Printer with Auto Two-Sided Printing, Mobile Printing, Fax & Built-in Ethernet, Amazon Dash Replenishment Ready (G3Q75A)",HP,$150.00,,3.4,140,https://www.amazon.com/HP-Laserjet-Wireless-Replenishment-G3Q75A/dp/B01LZW2L1P/ref=sr_1_68/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-68
"Brother QL-820NWB Professional, Ultra Flexible Label Printer with Multiple Connectivity options",Brother,$174.98,$199.99,3.5,196,https://www.amazon.com/d/Desktop-Label-Printers/Brother-QL-820NWB-Professional-Flexible-Connectivity/B01MTYE0X6/ref=sr_1_69/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-69
"Workforce WF-7720 Wireless Wide-Format Color Inkjet Printer with Copy, Scan, Fax, Wi-Fi Direct and Ethernet, Amazon Dash Replenishment Enabled",Epson,$199.99,$299.99,3.7,147,https://www.amazon.com/Workforce-WF-7720-Wireless-Wide-Format-Replenishment/dp/B077BGMZZS/ref=sr_1_70/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-70
"Brother MFC-J6935DW Inkjet All-in-One Color Printer, Wireless Connectivity, Automatic Duplex Printing, Amazon Dash Replenishment Enabled",Brother,$289.99,$349.99,3.7,223,https://www.amazon.com/Brother-MFC-J6935DW-Connectivity-Automatic-Replenishment/dp/B01LYA9D2C/ref=sr_1_71/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-71
"HP Laserjet Pro M254dw Wireless Color Laser Printer, Amazon Dash Replenishment Ready (T6B60A)",HP,$199.99,,3.7,98,https://www.amazon.com/HP-Laserjet-Wireless-Replenishment-T6B60A/dp/B073R2WVKB/ref=sr_1_72/132-5569492-3767426?s=computers-intl-ship&ie=UTF8&qid=1548285726&sr=1-72
